,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
392,1.8398876404494382e-05,0.4480788,,,0.02737448,,
393,1.8445692883895133e-05,0.027419327,,,0.0017808536,,
394,1.849250936329588e-05,0.007326981,,,0.16972382,,
395,1.8539325842696632e-05,0.012467587,,,0.0045946734,,
396,1.858614232209738e-05,0.08160037,,,0.017439866,,
397,1.863295880149813e-05,0.12691602,,,0.0143688,,
398,1.867977528089888e-05,0.018689571,,,0.025491176,,
399,1.8726591760299626e-05,0.0045287623,,,0.032417323,,
400,1.8773408239700374e-05,0.04729646,,,0.18229073,,
401,1.8820224719101125e-05,0.3420511,,,0.087243706,,
402,1.8867041198501873e-05,0.015496277,,,0.050346356,,
403,1.891385767790262e-05,0.06158447,,,0.07127447,,
404,1.896067415730337e-05,0.10108356,,,0.04393846,,
405,1.900749063670412e-05,0.0516883,,,0.14901435,,
406,1.905430711610487e-05,0.031317122,,,0.14132605,,
407,1.9101123595505618e-05,0.006286808,,,0.10055382,,
408,1.914794007490637e-05,0.041855946,,,0.117915936,,
409,1.9194756554307117e-05,0.040559273,,,0.009107431,,
410,1.9241573033707868e-05,0.090618275,,,0.11520678,,
411,1.9288389513108615e-05,0.029952861,,,0.03381293,,
412,1.9335205992509363e-05,0.22251086,,,0.049011137,,
413,1.9382022471910114e-05,0.15502495,,,0.04919857,,
414,1.942883895131086e-05,0.02895831,,,0.15592484,,
415,1.9475655430711613e-05,0.065637104,,,0.030729074,,
416,1.952247191011236e-05,0.082760155,,,0.040826276,,
417,1.956928838951311e-05,0.071328804,,,0.081463195,,
418,1.961610486891386e-05,0.0058151623,,,0.048998516,,
419,1.9662921348314607e-05,0.019082054,,,0.22801034,,
420,1.9709737827715358e-05,0.089425914,,,0.118179366,,
421,1.9756554307116106e-05,0.15701593,,,0.04360733,,
422,1.9803370786516857e-05,0.026427858,,,0.006213638,,
423,1.9850187265917604e-05,0.027692882,,,0.08266719,,
424,1.9897003745318352e-05,0.11689183,,,0.17572199,,
425,1.99438202247191e-05,0.06813926,,,0.16584036,,
426,1.999063670411985e-05,0.09260243,,,0.034011208,,
427,2.00374531835206e-05,0.0039495765,,,0.13187633,,
428,2.008426966292135e-05,0.16262782,,,0.026381928,,
429,2.0131086142322097e-05,0.08817644,,,0.103641585,,
430,2.0177902621722848e-05,0.06632126,,,0.19037762,,
431,2.0224719101123596e-05,0.04756035,,,0.014265433,,
432,2.0271535580524344e-05,0.031109797,,,0.049567517,,
433,2.0318352059925095e-05,0.11050285,,,0.10415112,,
434,2.0365168539325842e-05,0.33393738,,,0.30544198,,
435,2.0411985018726593e-05,0.0320874,,,0.13397495,,
436,2.045880149812734e-05,0.24064218,,,0.16550788,,
437,2.0505617977528092e-05,0.12417983,,,0.023983948,,
438,2.055243445692884e-05,0.33365744,,,0.03806294,,
439,2.059925093632959e-05,0.0833204,,,0.08935158,,
440,2.064606741573034e-05,0.14631678,,,0.086595476,,
441,2.0692883895131086e-05,0.022695819,,,0.07661527,,
442,2.0739700374531837e-05,0.17278193,,,0.14083959,,
